,assays,leiden,topics,keep
parse_hipp_12_Topic2_R45,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic3_R45,parse_hipp_12,9,Topic_10,True
parse_hipp_12_Topic4_R45,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic5_R45,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic6_R45,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic7_R45,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic8_R45,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic9_R45,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic10_R45,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic11_R45,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic12_R45,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic1_R46,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic2_R46,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic3_R46,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic4_R46,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic5_R46,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic6_R46,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic7_R46,parse_hipp_12,13,Topic_14,True
parse_hipp_12_Topic8_R46,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic9_R46,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic10_R46,parse_hipp_12,9,Topic_10,True
parse_hipp_12_Topic11_R46,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic12_R46,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic1_R47,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic2_R47,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic3_R47,parse_hipp_12,12,Topic_13,True
parse_hipp_12_Topic4_R47,parse_hipp_12,9,Topic_10,True
parse_hipp_12_Topic5_R47,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic6_R47,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic7_R47,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic8_R47,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic9_R47,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic10_R47,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic11_R47,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic12_R47,parse_hipp_12,14,Topic_15,True
parse_hipp_12_Topic1_R48,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic2_R48,parse_hipp_12,13,Topic_14,True
parse_hipp_12_Topic3_R48,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic4_R48,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic5_R48,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic6_R48,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic7_R48,parse_hipp_12,10,Topic_11,True
parse_hipp_12_Topic8_R48,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic9_R48,parse_hipp_12,9,Topic_10,True
parse_hipp_12_Topic10_R48,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic11_R48,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic12_R48,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic1_R49,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic2_R49,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic3_R49,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic4_R49,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic5_R49,parse_hipp_12,6,Topic_7,True
