orig.ident	nCount_RNA	nFeature_RNA	gender	tissue	mouse	genotype	age	exp	age_gen	percent.mt	RNA_snn_res.1	seurat_clusters	State	cellType
3xC013	1147	495	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.697471665213601	6	6	6	microglia
3xC013	621	322	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.161030595813205	1	1	8	microglia
3xC013	668	309	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	1.64670658682635	1	1	8	microglia
3xC013	1106	718	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.904159132007233	9	9	9	microglia
3xC013	1103	719	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	1.63191296464189	9	9	9	microglia
3xC013	1314	862	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	1.67427701674277	9	9	2	microglia
3xC013	860	575	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	1.97674418604651	9	9	9	microglia
3xC013	885	600	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.564971751412429	9	9	9	microglia
3xC013	918	622	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.980392156862745	9	9	9	microglia
3xC013	970	638	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.927835051546392	9	9	9	microglia
3xC013	1034	705	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	1.93423597678917	9	9	2	microglia
3xC013	944	609	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.847457627118644	9	9	9	microglia
3xC013	882	593	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	1.47392290249433	9	9	9	microglia
3xC013	1324	828	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.906344410876133	9	9	9	microglia
3xC013	1078	708	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	1.57699443413729	9	9	2	microglia
3xC013	1075	743	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	1.95348837209302	9	9	2	microglia
3xC013	976	627	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	1.12704918032787	9	9	9	microglia
3xC013	1236	784	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	1.13268608414239	9	9	9	microglia
3xC013	1013	676	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	1.8756169792695	9	9	9	microglia
3xC013	871	550	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0	5	5	1	microglia
3xC013	658	339	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.60790273556231	8	8	5	microglia
3xC013	1024	610	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	3.02734375	3	3	9	microglia
3xC013	1032	524	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	3.00387596899225	3	3	9	microglia
3xC013	1020	536	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.882352941176471	3	3	9	microglia
3xC013	1205	620	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.0829875518672199	3	3	9	microglia
3xC013	1281	697	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.312256049960968	4	4	2	microglia
3xC013	988	510	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	1.61943319838057	3	3	9	microglia
3xC013	642	358	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.467289719626168	8	8	6	microglia
3xC013	843	441	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	7.23606168446026	12	12	1	microglia
3xC013	706	396	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.28328611898017	18	18	0	astrocyte
3xC013	532	307	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	1.50375939849624	12	12	9	microglia
3xC013	533	321	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0	7	7	8	microglia
3xC013	612	323	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.326797385620915	3	3	9	microglia
3xC013	1172	651	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0	4	4	2	microglia
3xC013	1269	711	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.0788022064617809	4	4	1	microglia
